# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 6
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 2454491356
# output
#   file = outputnotheta_norI2_jun26.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,params.8,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,blood.7,prop
# Adaptation terminated
# Step size = 0.418136
# Diagonal elements of inverse mass matrix:
# 0.0133717, 0.611689, 0.105808, 0.014638, 0.0164187, 0.28856
155.311,1,0.418136,3,7,0,0.356261,0.428372,2.1964,0.110645,0.500613,0.268528,0.232129,0.316644,0.356261,0.356261,0.356261,0.356261,0.356261,0.268528,0.198516,0.198516,0.630575,0.630575,0.630575,0.630575,0.630575,0.393841
156.26,0.951429,0.418136,3,7,0,0.351894,0.558454,2.64797,0.135301,0.473603,0.211638,0.201316,0.326982,0.351894,0.351894,0.351894,0.351894,0.351894,0.211638,0.237079,0.237079,0.704091,0.704091,0.704091,0.704091,0.704091,0.377246
157.276,0.950836,0.418136,3,7,0,0.286143,0.57909,2.38222,0.153361,0.313531,0.346501,0.160357,0.259719,0.286143,0.286143,0.286143,0.286143,0.286143,0.346501,0.264144,0.264144,0.748483,0.748483,0.748483,0.748483,0.748483,0.269138
154.975,0.841681,0.418136,3,7,0,0.345101,0.967269,1.4244,0.157402,0.326226,0.53789,0.13118,0.262052,0.345101,0.345101,0.345101,0.345101,0.345101,0.53789,0.270068,0.270068,0.757467,0.757467,0.757467,0.757467,0.757467,0.278358
156.519,0.922797,0.418136,3,7,0,0.300091,1.58262,5.00227,0.153933,0.286503,0.355387,0.0616497,0.298073,0.300091,0.300091,0.300091,0.300091,0.300091,0.355387,0.264987,0.264987,0.749776,0.749776,0.749776,0.749776,0.749776,0.249115
157.339,1,0.418136,3,7,0,0.342265,0.42727,4.0186,0.180822,0.329666,0.2719,0.223255,0.336112,0.342265,0.342265,0.342265,0.342265,0.342265,0.2719,0.30347,0.30347,0.80356,0.80356,0.80356,0.80356,0.80356,0.280836
151.866,0.608984,0.418136,2,3,0,0.365356,0.215089,2.86434,0.192655,0.3411,0.363359,0.294649,0.344524,0.365356,0.365356,0.365356,0.365356,0.365356,0.363359,0.31976,0.31976,0.823404,0.823404,0.823404,0.823404,0.823404,0.289012
156.859,0.99457,0.418136,3,7,0,0.32599,0.833837,2.98451,0.191493,0.333269,0.239807,0.141603,0.309506,0.32599,0.32599,0.32599,0.32599,0.32599,0.239807,0.318177,0.318177,0.821548,0.821548,0.821548,0.821548,0.821548,0.283422
157.319,0.976896,0.418136,4,15,0,0.326842,0.913671,3.44069,0.116549,0.393501,0.251415,0.13108,0.316369,0.326842,0.326842,0.326842,0.326842,0.326842,0.251415,0.207924,0.207924,0.649691,0.649691,0.649691,0.649691,0.649691,0.32531
157.167,0.984601,0.418136,4,15,0,0.302566,0.265391,3.67866,0.163251,0.377867,0.535187,0.23204,0.294925,0.302566,0.302566,0.302566,0.302566,0.302566,0.535187,0.278557,0.278557,0.769903,0.769903,0.769903,0.769903,0.769903,0.314678
