"","beta","r","logm1","logm2","sensrate","prop"
"383",0.343571,0.408773,0.768208,2.86537,0.144029,0.285398
"384",0.333942,0.411983,1.07787,4.94001,0.15954,0.313361
"385",0.33993,0.410639,0.718677,4.4743,0.15884,0.314288
"386",0.328984,0.494926,0.805028,2.54262,0.16716,0.283171
"387",0.339374,0.323599,1.70174,3.86922,0.152305,0.277198
"388",0.33444,0.238512,0.606865,4.74236,0.145031,0.268633
"389",0.315149,0.293195,1.31407,4.41704,0.169629,0.246382
"390",0.313152,0.308675,1.45575,3.39425,0.18023,0.247589
"391",0.31274,0.207303,0.0377381,3.12689,0.173544,0.290687
"392",0.302278,0.180213,0.22934,3.73895,0.186845,0.233582
"393",0.323157,0.225668,0.638417,3.51825,0.159928,0.283625
"394",0.321487,0.306993,0.241233,4.44083,0.151954,0.298872
"395",0.296623,0.276656,0.760467,5.29161,0.172378,0.298607
"396",0.335743,0.26375,0.136445,5.07719,0.197141,0.263034
"397",0.278493,0.199644,0.30227,3.04285,0.157577,0.276547
"398",0.344286,0.338479,0.232768,3.34814,0.170727,0.349715
"399",0.339506,0.392495,0.187473,3.02811,0.171314,0.344787
"400",0.35348,0.361032,0.105156,3.80317,0.157054,0.331137
"401",0.280132,0.327006,0.260483,3.64463,0.154385,0.281626
"402",0.337029,0.356808,1.28531,3.43185,0.154859,0.276317
"403",0.341636,0.248608,1.21936,4.71303,0.157275,0.264995
"404",0.356071,0.180363,0.763637,2.83716,0.174595,0.270697
"405",0.320023,0.385272,0.339554,2.7707,0.142719,0.28858
"406",0.318554,0.394205,0.400002,2.6154,0.136292,0.305357
"407",0.322928,0.396793,1.11821,2.8116,0.147022,0.276713
"408",0.322928,0.396793,1.11821,2.8116,0.147022,0.276713
"409",0.324741,0.321846,1.55309,2.93567,0.160062,0.275142
"410",0.30003,0.355558,0.141547,3.49653,0.17805,0.274719
"411",0.332579,0.385411,0.938276,3.13488,0.119568,0.321172
"412",0.339413,0.368637,0.690505,3.10427,0.12381,0.34912
"413",0.324984,0.163039,0.139742,3.70326,0.153503,0.291663
"414",0.341514,0.368202,0.643126,3.50201,0.208043,0.212749
"415",0.312416,0.373844,1.4233,1.61034,0.157884,0.235394
"416",0.361619,0.33216,1.57853,2.83134,0.172482,0.277722
"417",0.33697,0.346367,0.538499,1.8797,0.131244,0.293936
"418",0.315909,0.364315,0.604964,2.0356,0.139475,0.302194
"419",0.304458,0.314091,0.566084,6.27394,0.211013,0.228983
