"","beta","r","logm1","logm2","sensrate","prop"
"195",0.49449,0.477088,2.30929,0.88656,0.161753,0.864051
"196",0.502533,0.486934,2.18741,0.980989,0.17069,0.88517
"197",0.376914,0.124328,1.32485,1.60498,0.144552,0.903387
"198",0.355275,0.29026,2.10867,1.3834,0.147406,0.853424
"199",0.352033,0.287514,2.03571,1.58757,0.158764,0.798789
"200",0.435319,0.425997,1.72984,1.99516,0.132698,0.92869
"201",0.406129,0.273553,1.27585,1.09196,0.138951,0.83228
"202",0.356174,0.368133,1.16742,2.043,0.169871,0.943243
"203",0.325795,0.446692,1.12535,2.54336,0.162982,0.863071
"204",0.363423,0.401969,1.22242,3.06827,0.149598,0.933672
"205",0.382112,0.276116,0.979535,1.73725,0.170791,0.931915
"206",0.40641,0.454614,1.16798,1.50735,0.154424,0.941349
"207",0.311084,0.672785,1.73765,2.49611,0.150126,0.935281
"208",0.30434,0.67653,1.49483,1.87868,0.142379,0.756743
"209",0.311063,0.678188,1.73828,1.63615,0.146949,0.815941
"210",0.378607,0.400706,1.41176,3.05905,0.139862,0.966665
"211",0.515901,0.418723,2.67921,0.853839,0.158997,0.983652
"212",0.518706,0.371109,1.99176,0.988137,0.140916,0.947304
"213",0.414733,0.301026,1.82004,1.18692,0.196016,0.833278
"214",0.414733,0.301026,1.82004,1.18692,0.196016,0.833278
"215",0.424723,0.347579,2.09881,2.88455,0.182185,0.813148
"216",0.404543,0.3594,1.0834,1.87198,0.147366,0.924579
"217",0.323434,0.253826,0.783346,1.82907,0.155431,0.955496
"218",0.401422,0.113179,0.670281,3.54343,0.16084,0.972012
"219",0.375017,0.185869,0.646614,3.68597,0.175791,0.970645
"220",0.34164,0.130804,0.392508,1.82638,0.162034,0.935567
"221",0.299168,0.532836,0.430887,2.46292,0.182248,0.89427
"222",0.319134,0.436245,0.433093,2.83475,0.17941,0.981275
"223",0.391653,0.297813,1.20876,1.21731,0.156194,0.826262
"224",0.349128,0.550465,1.23031,2.45468,0.142927,0.972204
"225",0.428088,0.275533,1.54752,1.09329,0.177376,0.867511
"226",0.448676,0.334972,2.50592,1.22729,0.137254,0.892105
"227",0.442703,0.300536,1.93828,1.89678,0.192352,0.877492
"228",0.460857,0.178215,1.78683,4.98991,0.167729,0.97832
"229",0.421147,0.655997,1.24442,1.2021,0.140837,0.934279
"230",0.442455,0.56583,1.87944,3.03583,0.166327,0.928841
"231",0.481355,0.259946,2.58565,0.672865,0.174034,0.940113
"232",0.441159,0.404446,2.5345,1.90389,0.178881,0.977207
"233",0.451758,0.432782,1.58895,1.13188,0.185743,0.996319
"234",0.398346,0.336586,1.38138,1.41727,0.163802,0.985375
