# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_one_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 959355769
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,blood.1,blood.2,blood.3,blood.4,prop
# Adaptation terminated
# Step size = 0.193936
# Diagonal elements of inverse mass matrix:
# 1.63706, 0.0746066, 0.472884, 0.0133464, 0.147909, 0.423134

-25.4592,1,0.193936,4,15,0,2.89827,1.00897,2.91591,0.145814,1.6187,0.0138385,1.05669,2.74131,2.89827,2.89827,0.0138385,0.135682,0.135682,0.354315,0.354315,0.801844
-28.0619,0.642504,0.193936,5,23,0,4.10223,1.46448,0.691862,0.123785,1.24835,0.0184879,0.94843,2.04848,4.10223,4.10223,0.0184879,0.116431,0.116431,0.310202,0.310202,0.713023
-26.8251,1,0.193936,4,15,0,4.18403,2.01757,0.638579,0.12035,1.90239,0.0136963,0.556387,1.97469,4.18403,4.18403,0.0136963,0.11339,0.11339,0.303056,0.303056,0.850789
-26.5754,0.432435,0.193936,5,31,0,1.00097,1.50623,4.29719,0.150545,1.34323,0.0718452,0.22196,0.987351,1.00097,1.00097,0.0718452,0.139761,0.139761,0.363413,0.363413,0.738998
-26.8357,0.282902,0.193936,4,15,0,2.36694,2.11004,0.431646,0.158207,1.03678,0.0632249,0.28695,0.829755,2.36694,2.36694,0.0632249,0.146327,0.146327,0.37788,0.37788,0.645404
-27.5753,0.989936,0.193936,3,7,0,1.48599,2.33398,0.712895,0.140897,0.837221,0.0525191,0.144006,0.757524,1.48599,1.48599,0.0525191,0.131421,0.131421,0.344718,0.344718,0.567088
-24.1863,1,0.193936,3,7,0,2.03478,2.36984,1.00567,0.151342,1.06862,0.0460127,0.190244,1.29046,2.03478,2.03478,0.0460127,0.140447,0.140447,0.364934,0.364934,0.656519
-24.9348,0.946334,0.193936,5,31,0,1.57709,1.00117,1.56076,0.146911,1.40619,0.0306312,0.5795,1.24594,1.57709,1.57709,0.0306312,0.136629,0.136629,0.356436,0.356436,0.754925
-24.296,0.984852,0.193936,5,31,0,3.4329,1.57736,1.53872,0.135666,1.22032,0.0137961,0.70896,2.69601,3.4329,3.4329,0.0137961,0.126866,0.126866,0.334355,0.334355,0.704864
-25.3175,0.847994,0.193936,5,23,0,4.06385,2.03988,1.21304,0.121175,2.8604,0.0181405,0.528482,2.8557,4.06385,4.06385,0.0181405,0.114121,0.114121,0.304778,0.304778,0.942754
-25.4705,0.952095,0.193936,4,15,0,2.52042,1.89452,2.04332,0.125062,2.44313,0.0188764,0.379046,2.19378,2.52042,2.52042,0.0188764,0.117558,0.117558,0.312839,0.312839,0.913111
-26.8731,1,0.193936,4,15,0,3.8044,1.46476,2.06704,0.124636,3.06104,0.00822611,0.879325,3.32292,3.8044,3.8044,0.00822611,0.117182,0.117182,0.311961,0.311961,0.953161
-28.0338,0.876482,0.193936,3,7,0,4.68978,1.6136,2.38676,0.132701,3.32289,0.00760868,0.934059,4.25867,4.68978,4.68978,0.00760868,0.124273,0.124273,0.328408,0.328408,0.963951
-28.6068,0.981931,0.193936,5,31,0,1.16694,2.62222,0.413178,0.127141,1.47885,0.129649,0.0847684,0.394958,1.16694,1.16694,0.129649,0.119391,0.119391,0.317112,0.317112,0.772101
-24.985,0.999649,0.193936,4,15,0,2.74294,2.30423,0.906475,0.113703,2.86511,0.0329203,0.273844,1.63494,2.74294,2.74294,0.0329203,0.107477,0.107477,0.289018,0.289018,0.943023
-25.35,0.912258,0.193936,5,31,0,2.76283,0.899033,1.50964,0.152598,1.25186,0.0149645,1.12437,2.15227,2.76283,2.76283,0.0149645,0.141525,0.141525,0.367322,0.367322,0.714028
-24.9885,0.993249,0.193936,3,7,0,2.53641,0.928766,1.67253,0.15032,1.19609,0.0152357,1.00199,2.06014,2.53641,2.53641,0.0152357,0.139568,0.139568,0.362984,0.362984,0.697626
-28.2493,0.742977,0.193936,5,31,0,4.85674,1.66073,2.06651,0.165046,1.09479,0.00485803,0.922787,4.24175,4.85674,4.85674,0.00485803,0.152145,0.152145,0.390514,0.390514,0.66539
-27.2689,0.917272,0.193936,5,31,0,4.30187,3.057,0.26638,0.163962,1.16119,0.0380741,0.202311,1.006,4.30187,4.30187,0.0380741,0.151226,0.151226,0.388528,0.388528,0.686887
-25.4599,0.865856,0.193936,4,15,0,3.57766,2.2281,0.827029,0.175593,1.03525,0.0190675,0.385432,2.01298,3.57766,3.57766,0.0190675,0.161041,0.161041,0.409497,0.409497,0.644862
-25.6127,0.983583,0.193936,4,15,0,4.06709,2.08383,0.760823,0.175115,0.928234,0.02079,0.506161,2.16661,4.06709,4.06709,0.02079,0.16064,0.16064,0.40865,0.40865,0.604749
-28.483,0.981684,0.193936,3,7,0,4.71391,1.80047,0.496997,0.179007,1.00847,0.0209834,0.778835,1.84618,4.71391,4.71391,0.0209834,0.1639,0.1639,0.415514,0.415514,0.635222
-25.7716,0.965268,0.193936,5,31,0,0.930295,1.91204,2.29511,0.127322,1.56789,0.0691112,0.137478,0.836568,0.930295,0.930295,0.0691112,0.11955,0.11955,0.317482,0.317482,0.791515
