# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 1596530953
# output
#   file = outputnotheta_norI2_3jun.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,blood.1,blood.2,blood.3,blood.4,prop
# Adaptation terminated
# Step size = 0.290138
# Diagonal elements of inverse mass matrix:
# 1.20564, 0.0874221, 0.235342, 0.0146673, 0.131796, 0.135036

-34.8294,0.979305,0.290138,4,15,0,0.913963,2.42298,1.31775,0.137781,1.57587,0.395716,0.0810291,0.669261,0.913963,0.913963,0.395716,0.128711,0.128711,0.338565,0.338565,0.793172
-33.0702,0.985051,0.290138,3,7,0,0.881891,2.00626,1.09087,0.145638,2.11833,0.393198,0.118606,0.585642,0.881891,0.881891,0.393198,0.13553,0.13553,0.353974,0.353974,0.879768
-32.6964,0.602299,0.290138,4,15,0,0.723257,1.12311,1.75846,0.15969,1.47451,0.265215,0.235251,0.598632,0.723257,0.723257,0.265215,0.147592,0.147592,0.380641,0.380641,0.77111
-33.6337,0.964631,0.290138,4,15,0,0.930336,2.36489,1.00601,0.144083,1.57309,0.167286,0.0874137,0.590134,0.930336,0.930336,0.167286,0.134184,0.134184,0.350951,0.350951,0.792596
-32.0262,0.963896,0.290138,4,15,0,0.654608,1.37423,1.29448,0.150404,1.65214,0.206993,0.165638,0.475219,0.654608,0.654608,0.206993,0.139639,0.139639,0.363143,0.363143,0.80836
-34.0514,0.939279,0.290138,4,15,0,0.76248,1.05378,0.973229,0.160256,1.16812,0.241096,0.265815,0.474369,0.76248,0.76248,0.241096,0.148074,0.148074,0.381692,0.381692,0.68905
-34.0285,0.875181,0.290138,4,15,0,0.896424,2.47069,2.89016,0.157954,1.86497,0.226429,0.0757717,0.846613,0.896424,0.896424,0.226429,0.146111,0.146111,0.377407,0.377407,0.845099
-34.2386,0.896444,0.290138,3,7,0,0.981762,2.15719,1.14811,0.156535,1.43128,0.227233,0.113541,0.670313,0.981762,0.981762,0.227233,0.144899,0.144899,0.374751,0.374751,0.760998
-33.1266,0.950181,0.290138,4,15,0,0.650902,1.05219,2.2624,0.130844,3.54191,0.291992,0.227278,0.583143,0.650902,0.650902,0.291992,0.122645,0.122645,0.324655,0.324655,0.971042
-32.6781,0.931788,0.290138,4,15,0,0.791655,2.17568,1.36911,0.162276,1.34748,0.185684,0.0898774,0.590312,0.791655,0.791655,0.185684,0.149793,0.149793,0.385426,0.385426,0.740107
-32.3432,0.983438,0.290138,4,15,0,0.754336,1.4535,1.65205,0.126391,2.85412,0.291335,0.176327,0.609763,0.754336,0.754336,0.291335,0.11873,0.11873,0.315573,0.315573,0.942393
-34.9042,0.898071,0.290138,4,15,0,0.803875,1.94209,1.02507,0.116098,4.15371,0.361894,0.115279,0.515466,0.803875,0.803875,0.361894,0.109612,0.109612,0.294109,0.294109,0.984294
-33.8978,0.930962,0.290138,3,7,0,0.949813,1.81365,1.01776,0.138817,3.73708,0.269865,0.154874,0.606549,0.949813,0.949813,0.269865,0.129612,0.129612,0.340616,0.340616,0.976176
-34.5907,0.964672,0.290138,3,7,0,0.800584,1.66816,1.30032,0.138568,4.97622,0.140831,0.150985,0.582471,0.800584,0.800584,0.140831,0.129396,0.129396,0.340124,0.340124,0.9931
-35.5471,0.95689,0.290138,3,7,0,0.830297,1.60116,1.47302,0.144328,5.61101,0.13693,0.16744,0.639966,0.830297,0.830297,0.13693,0.134397,0.134397,0.35143,0.35143,0.996343
-37.0216,0.979788,0.290138,4,15,0,0.580064,1.49163,1.73707,0.122564,1.50747,0.480853,0.130518,0.477952,0.580064,0.580064,0.480853,0.11535,0.11535,0.307669,0.307669,0.778531
-37.6957,0.964675,0.290138,4,15,0,0.959705,2.30124,1.14101,0.153661,6.94701,0.231239,0.0960997,0.653083,0.959705,0.959705,0.231239,0.142438,0.142438,0.369337,0.369337,0.999038
